,Deck,Count,Share,Score,Win_Percentage,Deck_links
941,Gardevoir Dusknoir,1,0.00%,2 - 3 - 0,40.00%,/decks/gardevoir-a1-dusknoir-a2?game=POCKET&format=standard&set=A2
942,Garchomp Fearow,1,0.00%,2 - 3 - 0,40.00%,/decks/garchomp-a2-fearow-a1?game=POCKET&format=standard&set=A2
943,Garchomp Lucario,1,0.00%,2 - 3 - 0,40.00%,/decks/garchomp-lucario-a2?game=POCKET&format=standard&set=A2
944,Garchomp Gastrodon,1,0.00%,2 - 3 - 0,40.00%,/decks/garchomp-gastrodon-a2?game=POCKET&format=standard&set=A2
945,Venusaur,1,0.00%,2 - 3 - 0,40.00%,/decks/venusaur-a1?game=POCKET&format=standard&set=A2
946,Gallade ex Bibarel,1,0.00%,2 - 3 - 0,40.00%,/decks/gallade-ex-bibarel-a2?game=POCKET&format=standard&set=A2
947,Zapdos ex Electrode,1,0.00%,2 - 3 - 0,40.00%,/decks/zapdos-ex-electrode-a1?game=POCKET&format=standard&set=A2
948,Empoleon Mew ex,1,0.00%,2 - 3 - 0,40.00%,/decks/empoleon-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
949,Magnezone Kingler,1,0.00%,2 - 3 - 0,40.00%,/decks/magnezone-a2-kingler-a1?game=POCKET&format=standard&set=A2
950,Lickilicky ex Celebi ex,1,0.00%,2 - 3 - 0,40.00%,/decks/lickilicky-ex-a2-celebi-ex-a1a?game=POCKET&format=standard&set=A2
951,Exeggutor Magnezone,1,0.00%,2 - 3 - 0,40.00%,/decks/exeggutor-a1-magnezone-a2?game=POCKET&format=standard&set=A2
952,Magnezone Tauros,1,0.00%,2 - 3 - 0,40.00%,/decks/magnezone-a2-tauros-a1?game=POCKET&format=standard&set=A2
953,Flareon Glaceon,1,0.00%,2 - 3 - 0,40.00%,/decks/flareon-a1-glaceon-a2?game=POCKET&format=standard&set=A2
954,Magneton Mew ex,1,0.00%,2 - 3 - 0,40.00%,/decks/magneton-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
955,Weavile ex Skuntank,1,0.00%,2 - 3 - 0,40.00%,/decks/weavile-ex-skuntank-a2?game=POCKET&format=standard&set=A2
956,Dragonite Starmie,1,0.00%,3 - 5 - 0,37.50%,/decks/dragonite-starmie-a1?game=POCKET&format=standard&set=A2
957,Melmetal Bastiodon,1,0.00%,3 - 5 - 0,37.50%,/decks/melmetal-a1-bastiodon-a2?game=POCKET&format=standard&set=A2
958,Yanmega ex Lilligant,1,0.00%,3 - 5 - 0,37.50%,/decks/yanmega-ex-a2-lilligant-a1?game=POCKET&format=standard&set=A2
959,Magnezone Electrode,1,0.00%,3 - 5 - 0,37.50%,/decks/magnezone-a2-electrode-a1?game=POCKET&format=standard&set=A2
960,Porygon-Z Hypno,1,0.00%,3 - 5 - 0,37.50%,/decks/porygon-z-a2-hypno-a1?game=POCKET&format=standard&set=A2
961,Marowak ex Lickilicky ex,1,0.00%,2 - 4 - 0,33.33%,/decks/marowak-ex-a1-lickilicky-ex-a2?game=POCKET&format=standard&set=A2
962,Marowak ex Dugtrio,1,0.00%,2 - 4 - 0,33.33%,/decks/marowak-ex-dugtrio-a1?game=POCKET&format=standard&set=A2
963,Cresselia ex Butterfree,1,0.00%,2 - 4 - 0,33.33%,/decks/cresselia-ex-p-a-butterfree-a1?game=POCKET&format=standard&set=A2
964,Darkrai ex Vaporeon,1,0.00%,2 - 4 - 0,33.33%,/decks/darkrai-ex-a2-vaporeon-a1a?game=POCKET&format=standard&set=A2
965,Palkia ex Regigigas,1,0.00%,1 - 2 - 0,33.33%,/decks/palkia-ex-regigigas-a2?game=POCKET&format=standard&set=A2
966,Pachirisu ex Shinx,1,0.00%,1 - 2 - 0,33.33%,/decks/pachirisu-ex-shinx-a2?game=POCKET&format=standard&set=A2
967,Florges Mismagius ex,1,0.00%,1 - 2 - 0,33.33%,/decks/florges-a1a-mismagius-ex-a2?game=POCKET&format=standard&set=A2
968,Dusknoir Celebi ex,1,0.00%,1 - 2 - 0,33.33%,/decks/dusknoir-a2-celebi-ex-a1a?game=POCKET&format=standard&set=A2
969,Marowak ex Mew ex,1,0.00%,2 - 4 - 0,33.33%,/decks/marowak-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
970,Celebi ex Palkia ex,1,0.00%,1 - 2 - 0,33.33%,/decks/celebi-ex-a1a-palkia-ex-a2?game=POCKET&format=standard&set=A2
971,Arcanine ex Magcargo,1,0.00%,3 - 6 - 0,33.33%,/decks/arcanine-ex-a1-magcargo-a2?game=POCKET&format=standard&set=A2
972,Rampardos Stonjourner,1,0.00%,1 - 2 - 0,33.33%,/decks/rampardos-a2-stonjourner-a1a?game=POCKET&format=standard&set=A2
973,Gengar ex Togekiss,1,0.00%,2 - 4 - 0,33.33%,/decks/gengar-ex-a1-togekiss-a2?game=POCKET&format=standard&set=A2
974,Luxray Pikachu ex,1,0.00%,1 - 2 - 0,33.33%,/decks/luxray-a2-pikachu-ex-a1?game=POCKET&format=standard&set=A2
975,Pidgeot ex Yanmega ex,1,0.00%,1 - 2 - 0,33.33%,/decks/pidgeot-ex-a1a-yanmega-ex-a2?game=POCKET&format=standard&set=A2
976,Vaporeon Mamoswine,1,0.00%,1 - 2 - 0,33.33%,/decks/vaporeon-a1a-mamoswine-a2?game=POCKET&format=standard&set=A2
977,Yanmega ex Melmetal,1,0.00%,1 - 2 - 0,33.33%,/decks/yanmega-ex-a2-melmetal-a1?game=POCKET&format=standard&set=A2
978,Charizard ex Rapidash,1,0.00%,1 - 2 - 0,33.33%,/decks/charizard-ex-rapidash-a1?game=POCKET&format=standard&set=A2
979,Palkia ex Regice,1,0.00%,1 - 1 - 1,33.33%,/decks/palkia-ex-regice-a2?game=POCKET&format=standard&set=A2
980,Articuno ex Dragonite,1,0.00%,1 - 2 - 0,33.33%,/decks/articuno-ex-dragonite-a1?game=POCKET&format=standard&set=A2
981,Venusaur ex Roserade,1,0.00%,1 - 2 - 0,33.33%,/decks/venusaur-ex-a1-roserade-a2?game=POCKET&format=standard&set=A2
982,Exeggutor ex Rotom,1,0.00%,1 - 2 - 0,33.33%,/decks/exeggutor-ex-a1-rotom-a2?game=POCKET&format=standard&set=A2
983,Electivire Pikachu ex,1,0.00%,1 - 2 - 0,33.33%,/decks/electivire-a2-pikachu-ex-a1?game=POCKET&format=standard&set=A2
984,Staraptor Palkia ex,1,0.00%,1 - 2 - 0,33.33%,/decks/staraptor-palkia-ex-a2?game=POCKET&format=standard&set=A2
985,Garchomp Tauros,1,0.00%,1 - 2 - 0,33.33%,/decks/garchomp-a2-tauros-a1?game=POCKET&format=standard&set=A2
986,Wigglytuff ex Ambipom,1,0.00%,2 - 4 - 0,33.33%,/decks/wigglytuff-ex-a1-ambipom-a2?game=POCKET&format=standard&set=A2
987,Darkrai ex Psyduck,1,0.00%,1 - 2 - 0,33.33%,/decks/darkrai-ex-a2-psyduck-a1?game=POCKET&format=standard&set=A2
988,Abomasnow Lapras ex,1,0.00%,2 - 4 - 0,33.33%,/decks/abomasnow-a2-lapras-ex-p-a?game=POCKET&format=standard&set=A2
989,Weavile ex Pidgeot,1,0.00%,1 - 2 - 0,33.33%,/decks/weavile-ex-a2-pidgeot-a1?game=POCKET&format=standard&set=A2
990,Lapras ex Palkia ex,1,0.00%,1 - 2 - 0,33.33%,/decks/lapras-ex-p-a-palkia-ex-a2?game=POCKET&format=standard&set=A2
991,Exeggutor ex Skarmory,1,0.00%,2 - 4 - 0,33.33%,/decks/exeggutor-ex-a1-skarmory-a2?game=POCKET&format=standard&set=A2
992,Weavile ex Liepard,1,0.00%,1 - 2 - 0,33.33%,/decks/weavile-ex-a2-liepard-a1a?game=POCKET&format=standard&set=A2
993,Exeggutor ex Beedrill,1,0.00%,1 - 2 - 0,33.33%,/decks/exeggutor-ex-beedrill-a1?game=POCKET&format=standard&set=A2
994,Ninetales Mew ex,1,0.00%,1 - 2 - 0,33.33%,/decks/ninetales-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
995,Electivire Spiritomb,1,0.00%,2 - 4 - 0,33.33%,/decks/electivire-spiritomb-a2?game=POCKET&format=standard&set=A2
996,Aerodactyl ex Chatot,1,0.00%,1 - 2 - 0,33.33%,/decks/aerodactyl-ex-a1a-chatot-a2?game=POCKET&format=standard&set=A2
997,Gyarados ex Fan Rotom,1,0.00%,1 - 2 - 0,33.33%,/decks/gyarados-ex-a1a-fan-rotom-a2?game=POCKET&format=standard&set=A2
998,Golem Primeape,1,0.00%,1 - 2 - 0,33.33%,/decks/golem-a1a-primeape-a1?game=POCKET&format=standard&set=A2
999,Mew ex Exeggutor ex,1,0.00%,1 - 2 - 0,33.33%,/decks/mew-ex-a1a-exeggutor-ex-a1?game=POCKET&format=standard&set=A2
1000,Porygon-Z Shaymin,1,0.00%,1 - 2 - 0,33.33%,/decks/porygon-z-shaymin-a2?game=POCKET&format=standard&set=A2
1001,Staraptor Weavile ex,1,0.00%,1 - 2 - 0,33.33%,/decks/staraptor-weavile-ex-a2?game=POCKET&format=standard&set=A2
1002,Darkrai ex Yanmega ex,1,0.00%,1 - 2 - 0,33.33%,/decks/darkrai-ex-yanmega-ex-a2?game=POCKET&format=standard&set=A2
1003,Celebi ex Exeggutor,1,0.00%,1 - 2 - 0,33.33%,/decks/celebi-ex-a1a-exeggutor-a1?game=POCKET&format=standard&set=A2
1004,Leafeon Bidoof,1,0.00%,1 - 2 - 0,33.33%,/decks/leafeon-bidoof-a2?game=POCKET&format=standard&set=A2
1005,Leafeon,1,0.00%,1 - 2 - 0,33.33%,/decks/leafeon-a2?game=POCKET&format=standard&set=A2
1006,Greninja Salazzle,1,0.00%,1 - 2 - 0,33.33%,/decks/greninja-a1-salazzle-a1a?game=POCKET&format=standard&set=A2
1007,Primeape Marshadow,1,0.00%,2 - 4 - 0,33.33%,/decks/primeape-marshadow-a1a?game=POCKET&format=standard&set=A2
1008,Infernape ex Heat Rotom,1,0.00%,1 - 2 - 0,33.33%,/decks/infernape-ex-heat-rotom-a2?game=POCKET&format=standard&set=A2
1009,Vileplume Bellossom,1,0.00%,2 - 4 - 0,33.33%,/decks/vileplume-a1-bellossom-a2?game=POCKET&format=standard&set=A2
1010,Aerodactyl ex Dugtrio,1,0.00%,1 - 2 - 0,33.33%,/decks/aerodactyl-ex-a1a-dugtrio-a1?game=POCKET&format=standard&set=A2
1011,Vaporeon Articuno ex,1,0.00%,2 - 4 - 0,33.33%,/decks/vaporeon-articuno-ex-a1?game=POCKET&format=standard&set=A2
1012,Dialga ex Kangaskhan,1,0.00%,1 - 2 - 0,33.33%,/decks/dialga-ex-a2-kangaskhan-a1?game=POCKET&format=standard&set=A2
1013,Wigglytuff ex Druddigon,1,0.00%,1 - 2 - 0,33.33%,/decks/wigglytuff-ex-a1-druddigon-a1a?game=POCKET&format=standard&set=A2
1014,Gallade ex Sandslash,1,0.00%,1 - 2 - 0,33.33%,/decks/gallade-ex-a2-sandslash-a1?game=POCKET&format=standard&set=A2
1015,Pachirisu ex Butterfree,1,0.00%,1 - 2 - 0,33.33%,/decks/pachirisu-ex-a2-butterfree-a1?game=POCKET&format=standard&set=A2
1016,Magnezone Porygon-Z,1,0.00%,1 - 2 - 0,33.33%,/decks/magnezone-porygon-z-a2?game=POCKET&format=standard&set=A2
1017,Celebi ex Kangaskhan,1,0.00%,2 - 4 - 0,33.33%,/decks/celebi-ex-a1a-kangaskhan-a1?game=POCKET&format=standard&set=A2
1018,Yanmega ex Bisharp,1,0.00%,1 - 2 - 0,33.33%,/decks/yanmega-ex-a2-bisharp-a1?game=POCKET&format=standard&set=A2
1019,Charizard Arcanine,1,0.00%,1 - 2 - 0,33.33%,/decks/charizard-arcanine-a1?game=POCKET&format=standard&set=A2
1020,Greninja Glameow,1,0.00%,2 - 4 - 0,33.33%,/decks/greninja-a1-glameow-a2?game=POCKET&format=standard&set=A2
1021,Victreebel Exeggutor ex,1,0.00%,1 - 2 - 0,33.33%,/decks/victreebel-exeggutor-ex-a1?game=POCKET&format=standard&set=A2
1022,Staraptor Skarmory,1,0.00%,1 - 2 - 0,33.33%,/decks/staraptor-skarmory-a2?game=POCKET&format=standard&set=A2
1023,Pidgeot ex Palkia ex,1,0.00%,2 - 4 - 0,33.33%,/decks/pidgeot-ex-a1a-palkia-ex-a2?game=POCKET&format=standard&set=A2
1024,Whimsicott Vaporeon,1,0.00%,1 - 2 - 0,33.33%,/decks/whimsicott-vaporeon-a1?game=POCKET&format=standard&set=A2
1025,Yanmega ex Wigglytuff ex,1,0.00%,1 - 2 - 0,33.33%,/decks/yanmega-ex-a2-wigglytuff-ex-a1?game=POCKET&format=standard&set=A2
1026,Skarmory,1,0.00%,1 - 2 - 0,33.33%,/decks/skarmory-a2?game=POCKET&format=standard&set=A2
1027,Eelektross Pikachu ex,1,0.00%,1 - 2 - 0,33.33%,/decks/eelektross-pikachu-ex-a1?game=POCKET&format=standard&set=A2
1028,Gengar ex Glameow,1,0.00%,1 - 1 - 1,33.33%,/decks/gengar-ex-a1-glameow-a2?game=POCKET&format=standard&set=A2
1029,Staraptor Hitmonlee,1,0.00%,1 - 2 - 0,33.33%,/decks/staraptor-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2
1030,Gengar Mismagius ex,1,0.00%,1 - 2 - 0,33.33%,/decks/gengar-a1-mismagius-ex-a2?game=POCKET&format=standard&set=A2
1031,Infernape ex Glameow,1,0.00%,2 - 4 - 0,33.33%,/decks/infernape-ex-glameow-a2?game=POCKET&format=standard&set=A2
1032,Garchomp Lumineon,1,0.00%,2 - 4 - 0,33.33%,/decks/garchomp-a2-lumineon-a1a?game=POCKET&format=standard&set=A2
1033,Garchomp Persian,1,0.00%,1 - 2 - 0,33.33%,/decks/garchomp-a2-persian-a1?game=POCKET&format=standard&set=A2
1034,Starmie ex Tauros,1,0.00%,1 - 2 - 0,33.33%,/decks/starmie-ex-a1-tauros-a1a?game=POCKET&format=standard&set=A2
1035,Gallade ex Shaymin,1,0.00%,1 - 2 - 0,33.33%,/decks/gallade-ex-shaymin-a2?game=POCKET&format=standard&set=A2
1036,Victreebel Magnezone,1,0.00%,1 - 2 - 0,33.33%,/decks/victreebel-a1-magnezone-a2?game=POCKET&format=standard&set=A2
1037,Gallade ex Onix,1,0.00%,1 - 2 - 0,33.33%,/decks/gallade-ex-a2-onix-a1?game=POCKET&format=standard&set=A2
1038,Gallade ex Combee,1,0.00%,1 - 2 - 0,33.33%,/decks/gallade-ex-combee-a2?game=POCKET&format=standard&set=A2
1039,Machamp ex Onix,1,0.00%,2 - 5 - 0,28.57%,/decks/machamp-ex-onix-a1?game=POCKET&format=standard&set=A2
1040,Roserade Exeggutor,1,0.00%,2 - 5 - 0,28.57%,/decks/roserade-a2-exeggutor-a1?game=POCKET&format=standard&set=A2
1041,Jolteon Leafeon,1,0.00%,2 - 5 - 0,28.57%,/decks/jolteon-a1-leafeon-a2?game=POCKET&format=standard&set=A2
1042,Marowak ex Marshadow,1,0.00%,2 - 5 - 0,28.57%,/decks/marowak-ex-a1-marshadow-a1a?game=POCKET&format=standard&set=A2
1043,Rampardos Kangaskhan,1,0.00%,2 - 5 - 0,28.57%,/decks/rampardos-a2-kangaskhan-a1?game=POCKET&format=standard&set=A2
1044,Articuno ex Pidgeot,1,0.00%,2 - 5 - 0,28.57%,/decks/articuno-ex-pidgeot-a1?game=POCKET&format=standard&set=A2
1045,Togekiss Mewtwo ex,1,0.00%,2 - 5 - 0,28.57%,/decks/togekiss-a2-mewtwo-ex-a1?game=POCKET&format=standard&set=A2
1046,Mew ex Gyarados ex,1,0.00%,2 - 5 - 0,28.57%,/decks/mew-ex-gyarados-ex-a1a?game=POCKET&format=standard&set=A2
1047,Venomoth Leafeon,1,0.00%,2 - 6 - 0,25.00%,/decks/venomoth-a1-leafeon-a2?game=POCKET&format=standard&set=A2
1048,Articuno ex Empoleon,1,0.00%,1 - 3 - 0,25.00%,/decks/articuno-ex-a1-empoleon-a2?game=POCKET&format=standard&set=A2
1049,Greninja Mamoswine,1,0.00%,1 - 3 - 0,25.00%,/decks/greninja-a1-mamoswine-a2?game=POCKET&format=standard&set=A2
1050,Gyarados ex Blastoise ex,1,0.00%,1 - 3 - 0,25.00%,/decks/gyarados-ex-a1a-blastoise-ex-a1?game=POCKET&format=standard&set=A2
1051,Machamp Lucario,1,0.00%,1 - 3 - 0,25.00%,/decks/machamp-a1-lucario-a2?game=POCKET&format=standard&set=A2
1052,Lumineon Articuno ex,1,0.00%,1 - 3 - 0,25.00%,/decks/lumineon-a1a-articuno-ex-a1?game=POCKET&format=standard&set=A2
1053,Electrode Heliolisk,1,0.00%,1 - 3 - 0,25.00%,/decks/electrode-a2-heliolisk-a1?game=POCKET&format=standard&set=A2
1054,Skarmory Heatran,1,0.00%,1 - 3 - 0,25.00%,/decks/skarmory-heatran-a2?game=POCKET&format=standard&set=A2
1055,Weezing Lopunny,1,0.00%,1 - 3 - 0,25.00%,/decks/weezing-a1-lopunny-a2?game=POCKET&format=standard&set=A2
1056,Rapidash Jolteon,1,0.00%,1 - 3 - 0,25.00%,/decks/rapidash-a1a-jolteon-a1?game=POCKET&format=standard&set=A2
1057,Dragonite Tauros,1,0.00%,1 - 3 - 0,25.00%,/decks/dragonite-a1-tauros-a1a?game=POCKET&format=standard&set=A2
1058,Luxray Mew ex,1,0.00%,1 - 3 - 0,25.00%,/decks/luxray-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
1059,Darkrai ex Dodrio,1,0.00%,1 - 3 - 0,25.00%,/decks/darkrai-ex-a2-dodrio-a1?game=POCKET&format=standard&set=A2
1060,Marowak ex Gallade ex,1,0.00%,1 - 3 - 0,25.00%,/decks/marowak-ex-a1-gallade-ex-a2?game=POCKET&format=standard&set=A2
1061,Pidgeot ex Dragonite,1,0.00%,1 - 3 - 0,25.00%,/decks/pidgeot-ex-a1a-dragonite-a1?game=POCKET&format=standard&set=A2
1062,Dragonite Raichu,1,0.00%,1 - 3 - 0,25.00%,/decks/dragonite-a1-raichu-a1a?game=POCKET&format=standard&set=A2
1063,Electrode Jolteon,1,0.00%,1 - 3 - 0,25.00%,/decks/electrode-jolteon-a1?game=POCKET&format=standard&set=A2
1064,Gyarados ex Farfetch'd,1,0.00%,1 - 3 - 0,25.00%,/decks/gyarados-ex-a1a-farfetchd-a1?game=POCKET&format=standard&set=A2
1065,Machamp ex Marshadow,1,0.00%,1 - 3 - 0,25.00%,/decks/machamp-ex-a1-marshadow-a1a?game=POCKET&format=standard&set=A2
1066,Bisharp Mew ex,1,0.00%,1 - 3 - 0,25.00%,/decks/bisharp-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
1067,Alakazam Pidgeot ex,1,0.00%,1 - 3 - 0,25.00%,/decks/alakazam-a1-pidgeot-ex-a1a?game=POCKET&format=standard&set=A2
1068,Aerodactyl ex Marowak ex,1,0.00%,1 - 3 - 0,25.00%,/decks/aerodactyl-ex-a1a-marowak-ex-a1?game=POCKET&format=standard&set=A2
1069,Yanmega ex Electrode,1,0.00%,1 - 3 - 0,25.00%,/decks/yanmega-ex-electrode-a2?game=POCKET&format=standard&set=A2
1070,Golem Hitmonlee,1,0.00%,1 - 3 - 0,25.00%,/decks/golem-hitmonlee-a1?game=POCKET&format=standard&set=A2
1071,Togekiss Glameow,1,0.00%,1 - 3 - 0,25.00%,/decks/togekiss-glameow-a2?game=POCKET&format=standard&set=A2
1072,Machamp Bibarel,1,0.00%,1 - 3 - 0,25.00%,/decks/machamp-a1-bibarel-a2?game=POCKET&format=standard&set=A2
1073,Omastar Farfetch'd,1,0.00%,1 - 3 - 0,25.00%,/decks/omastar-farfetchd-a1?game=POCKET&format=standard&set=A2
1074,Togekiss Rotom,1,0.00%,1 - 3 - 0,25.00%,/decks/togekiss-rotom-a2?game=POCKET&format=standard&set=A2
1075,Pachirisu ex Yanmega ex,1,0.00%,1 - 3 - 0,25.00%,/decks/pachirisu-ex-yanmega-ex-a2?game=POCKET&format=standard&set=A2
1076,Greninja Dugtrio,1,0.00%,1 - 3 - 0,25.00%,/decks/greninja-dugtrio-a1?game=POCKET&format=standard&set=A2
1077,Pachirisu ex Raichu,1,0.00%,1 - 3 - 0,25.00%,/decks/pachirisu-ex-a2-raichu-a1a?game=POCKET&format=standard&set=A2
1078,Articuno ex Blastoise,1,0.00%,1 - 3 - 0,25.00%,/decks/articuno-ex-blastoise-a1?game=POCKET&format=standard&set=A2
1079,Galvantula Pikachu ex,1,0.00%,1 - 3 - 0,25.00%,/decks/galvantula-a1a-pikachu-ex-a1?game=POCKET&format=standard&set=A2
1080,Lumineon Palkia ex,1,0.00%,1 - 3 - 0,25.00%,/decks/lumineon-a1a-palkia-ex-a2?game=POCKET&format=standard&set=A2
1081,Mismagius ex Farfetch'd,1,0.00%,1 - 3 - 0,25.00%,/decks/mismagius-ex-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
1082,Moltres ex Magnezone,1,0.00%,1 - 3 - 0,25.00%,/decks/moltres-ex-a1-magnezone-a2?game=POCKET&format=standard&set=A2
1083,Dragonite Weezing,1,0.00%,1 - 3 - 0,25.00%,/decks/dragonite-a1-weezing-a1a?game=POCKET&format=standard&set=A2
1084,Machamp ex Rampardos,1,0.00%,1 - 3 - 0,25.00%,/decks/machamp-ex-a1-rampardos-a2?game=POCKET&format=standard&set=A2
1085,Wormadam Melmetal,1,0.00%,1 - 3 - 0,25.00%,/decks/wormadam-a2-melmetal-a1?game=POCKET&format=standard&set=A2
1086,Machamp Rampardos,1,0.00%,1 - 3 - 0,25.00%,/decks/machamp-a1-rampardos-a2?game=POCKET&format=standard&set=A2
1087,Lumineon Tauros,1,0.00%,1 - 3 - 0,25.00%,/decks/lumineon-tauros-a1a?game=POCKET&format=standard&set=A2
1088,Infernape ex Lopunny,1,0.00%,1 - 3 - 0,25.00%,/decks/infernape-ex-lopunny-a2?game=POCKET&format=standard&set=A2
1089,Dusknoir Yanmega ex,1,0.00%,1 - 4 - 0,20.00%,/decks/dusknoir-yanmega-ex-a2?game=POCKET&format=standard&set=A2
1090,Yanmega ex Glaceon,1,0.00%,1 - 4 - 0,20.00%,/decks/yanmega-ex-glaceon-a2?game=POCKET&format=standard&set=A2
1091,Articuno ex Lickilicky ex,1,0.00%,1 - 4 - 0,20.00%,/decks/articuno-ex-a1-lickilicky-ex-a2?game=POCKET&format=standard&set=A2
1092,Machamp ex Meowth,1,0.00%,1 - 4 - 0,20.00%,/decks/machamp-ex-meowth-a1?game=POCKET&format=standard&set=A2
1093,Weezing Centiskorch,1,0.00%,1 - 4 - 0,20.00%,/decks/weezing-centiskorch-a1?game=POCKET&format=standard&set=A2
1094,Kabutops,1,0.00%,1 - 4 - 0,20.00%,/decks/kabutops-a1?game=POCKET&format=standard&set=A2
1095,Gengar ex Uxie,1,0.00%,1 - 4 - 0,20.00%,/decks/gengar-ex-a1-uxie-a2?game=POCKET&format=standard&set=A2
1096,Zapdos ex Jolteon,1,0.00%,1 - 4 - 0,20.00%,/decks/zapdos-ex-jolteon-a1?game=POCKET&format=standard&set=A2
1097,Marowak ex Golem,1,0.00%,1 - 4 - 0,20.00%,/decks/marowak-ex-golem-a1?game=POCKET&format=standard&set=A2
1098,Ambipom Skarmory,1,0.00%,1 - 4 - 0,20.00%,/decks/ambipom-skarmory-a2?game=POCKET&format=standard&set=A2
1099,Weezing Tauros,1,0.00%,1 - 3 - 1,20.00%,/decks/weezing-a1-tauros-a1a?game=POCKET&format=standard&set=A2
1100,Melmetal,1,0.00%,1 - 4 - 0,20.00%,/decks/melmetal-a1?game=POCKET&format=standard&set=A2
1101,Alakazam Jynx,1,0.00%,1 - 4 - 0,20.00%,/decks/alakazam-jynx-a1?game=POCKET&format=standard&set=A2
1102,Porygon-Z Mew ex,1,0.00%,1 - 4 - 0,20.00%,/decks/porygon-z-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
1103,Blastoise ex Mismagius ex,1,0.00%,1 - 4 - 0,20.00%,/decks/blastoise-ex-a1-mismagius-ex-a2?game=POCKET&format=standard&set=A2
1104,Dialga ex Farfetch'd,1,0.00%,1 - 4 - 0,20.00%,/decks/dialga-ex-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
1105,Kricketune Shiinotic,1,0.00%,1 - 3 - 2,16.67%,/decks/kricketune-a2-shiinotic-a1a?game=POCKET&format=standard&set=A2
1106,Starmie ex Porygon-Z,1,0.00%,1 - 5 - 0,16.67%,/decks/starmie-ex-a1-porygon-z-a2?game=POCKET&format=standard&set=A2
1107,Garchomp Tentacruel,1,0.00%,1 - 5 - 0,16.67%,/decks/garchomp-a2-tentacruel-a1?game=POCKET&format=standard&set=A2
1108,Pidgeot ex Weavile ex,1,0.00%,1 - 5 - 0,16.67%,/decks/pidgeot-ex-a1a-weavile-ex-a2?game=POCKET&format=standard&set=A2
1109,Scolipede Mew ex,1,0.00%,1 - 5 - 0,16.67%,/decks/scolipede-mew-ex-a1a?game=POCKET&format=standard&set=A2
1110,Toxicroak Mew ex,1,0.00%,1 - 6 - 0,14.29%,/decks/toxicroak-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
1111,Porygon-Z,1,0.00%,1 - 4 - 2,14.29%,/decks/porygon-z-a2?game=POCKET&format=standard&set=A2
1112,Weezing Drapion,1,0.00%,0 - 1 - 0,0.00%,/decks/weezing-a1-drapion-a2?game=POCKET&format=standard&set=A2
1113,Rhyperior Rampardos,1,0.00%,0 - 1 - 0,0.00%,/decks/rhyperior-rampardos-a2?game=POCKET&format=standard&set=A2
1114,Electrode Pikachu ex,1,0.00%,0 - 3 - 0,0.00%,/decks/electrode-a2-pikachu-ex-a1?game=POCKET&format=standard&set=A2
1115,Arbok Muk,1,0.00%,0 - 2 - 0,0.00%,/decks/arbok-muk-a1?game=POCKET&format=standard&set=A2
1116,Darkrai ex Staraptor,1,0.00%,0 - 1 - 0,0.00%,/decks/darkrai-ex-staraptor-a2?game=POCKET&format=standard&set=A2
1117,Palkia ex Tauros,1,0.00%,0 - 1 - 0,0.00%,/decks/palkia-ex-a2-tauros-a1a?game=POCKET&format=standard&set=A2
1118,Mew ex Dusknoir,1,0.00%,0 - 2 - 0,0.00%,/decks/mew-ex-a1a-dusknoir-a2?game=POCKET&format=standard&set=A2
1119,Rapidash Bellossom,1,0.00%,0 - 3 - 0,0.00%,/decks/rapidash-a1-bellossom-a2?game=POCKET&format=standard&set=A2
1120,Charizard ex Pikachu ex,1,0.00%,0 - 3 - 0,0.00%,/decks/charizard-ex-pikachu-ex-a1?game=POCKET&format=standard&set=A2
1121,Yanmega ex Rapidash,1,0.00%,0 - 1 - 0,0.00%,/decks/yanmega-ex-a2-rapidash-a1a?game=POCKET&format=standard&set=A2
1122,Gallade ex Chatot,1,0.00%,0 - 1 - 0,0.00%,/decks/gallade-ex-chatot-a2?game=POCKET&format=standard&set=A2
1123,Cresselia ex Greninja,1,0.00%,0 - 3 - 0,0.00%,/decks/cresselia-ex-p-a-greninja-a1?game=POCKET&format=standard&set=A2
1124,Magnezone Arbok,1,0.00%,0 - 2 - 0,0.00%,/decks/magnezone-a2-arbok-a1?game=POCKET&format=standard&set=A2
1125,Dusknoir Mewtwo ex,1,0.00%,0 - 2 - 0,0.00%,/decks/dusknoir-a2-mewtwo-ex-a1?game=POCKET&format=standard&set=A2
1126,Raichu Electivire,1,0.00%,0 - 2 - 0,0.00%,/decks/raichu-a1-electivire-a2?game=POCKET&format=standard&set=A2
1127,Palkia ex Porygon-Z,1,0.00%,0 - 2 - 0,0.00%,/decks/palkia-ex-porygon-z-a2?game=POCKET&format=standard&set=A2
